PacketCounter,Acc_X,Acc_Y,Acc_Z
12012,5.826580,-1.075367,10.105627
12013,2.654064,-0.108874,9.834721
12014,2.504208,-0.135662,9.852792
12015,3.566899,0.030828,9.742867
12016,4.322187,-0.174082,9.599175
12017,6.392672,-0.039900,9.752233
12018,6.157535,-0.106288,9.824252
12019,6.333048,-0.038035,9.807966
12020,5.138030,-0.009089,9.645848
12021,5.592292,0.167309,10.404705
12022,2.747919,-0.408017,9.353745
12023,3.313829,0.068780,9.537566
12024,1.974302,-0.118500,9.859350
12025,2.140839,-0.057005,10.067781
12026,2.374858,-0.026115,9.638936
12027,2.187021,-0.038806,9.715166
12028,1.803492,-0.166550,9.828822
12029,1.731625,-0.033592,9.684121
12030,0.967132,-0.086266,9.839723
12031,1.116358,-0.057250,9.796966
12032,0.608009,-0.049737,9.798578
12033,0.150143,-0.040817,9.767956
12034,0.148248,-0.015392,9.821791
12035,0.087559,-0.064298,9.798900
12036,0.021300,-0.026342,9.789280
12037,-0.028914,-0.028240,9.821473
12038,-0.020078,-0.004472,9.798811
12039,-0.085316,-0.024627,9.805849
12040,-0.206373,-0.039303,9.797311
12041,-0.096188,-0.076464,9.851208
12042,-0.378798,-0.048676,9.773474
12043,-0.469236,-0.023622,9.791673
12044,0.205989,-0.084005,9.508046
12045,0.256661,-0.110220,9.920467
12046,-0.010039,-0.030681,9.697155
12047,0.757473,-0.095497,9.972183
12048,0.126680,-0.148084,9.834362
12049,-0.075303,0.151425,9.584067
12050,0.306924,-0.199453,9.874914
12051,0.581736,0.068910,9.798080
12052,0.711139,-0.062392,9.809685
12053,0.700426,-0.052962,9.737974
12054,0.351395,-0.083759,9.785626
12055,0.229497,-0.044443,9.784537
12056,0.269307,-0.069472,9.774966
12057,0.303860,-0.065184,9.795394
12058,0.203966,-0.063232,9.735565
12059,0.107220,-0.073893,9.847816
12060,0.130967,-0.058409,9.796536
12061,0.121118,-0.083718,9.819147
12062,0.128562,-0.059538,9.796561
12063,0.144949,-0.068025,9.767883
12064,0.147446,-0.071843,9.791800
12065,0.146270,-0.072077,9.791816
12066,0.153651,-0.047576,9.769244
12067,0.194227,-0.070709,9.759713
12068,0.321978,-0.085364,9.738514
12069,0.394301,-0.070289,9.779466
12070,0.520971,-0.057036,9.812181
12071,0.774705,-0.082408,9.745912
12072,0.886521,-0.007607,9.814707
12073,1.264203,0.003307,9.835190
12074,1.309087,-0.126948,9.734718
12075,1.075843,0.029177,9.840857
12076,3.504634,-0.011891,9.776581
12077,3.139093,-0.007995,9.930157
12078,4.741819,-0.123662,9.528650
12079,4.983315,0.000549,9.785911
12080,4.648493,-0.185658,9.883901
12081,6.872722,0.049229,9.866904
12082,7.674742,-0.225707,9.686321
12083,9.072255,0.009726,9.742088
12084,6.380694,-0.379049,9.582681
12085,9.096268,0.233429,9.800000
12086,9.102820,-0.268986,10.053033
12087,7.475342,-0.342655,9.306489
12088,6.688288,-0.083596,9.878635
12089,8.613766,-0.027057,9.528085
12090,6.502058,-0.094186,10.023021
12091,6.618501,-0.018523,9.739975
12092,4.383256,0.108838,9.984196
12093,4.138362,0.770507,9.658608
