PacketCounter,Acc_X,Acc_Y,Acc_Z
61105,10.308632,0.140724,1.810349
61106,10.036763,0.341930,1.906960
61107,9.995126,0.127482,1.710160
61108,10.024370,0.096165,1.574357
61109,9.736869,-0.040671,1.496117
61110,9.581946,0.197325,1.615507
61111,9.508561,0.196995,1.683955
61112,9.462386,0.131913,1.626467
61113,9.681441,0.176877,1.547294
61114,9.778899,0.179473,1.558351
61115,9.787122,0.208347,1.559593
61116,9.821501,0.322186,1.621704
61117,9.852736,0.288307,1.556719
61118,9.861440,0.277169,1.506972
61119,9.671575,0.366047,1.593155
61120,9.615074,0.360510,1.617293
61121,9.724507,0.402727,1.589712
61122,9.832852,0.343180,1.512528
61123,9.709276,0.290204,1.440722
61124,9.592133,0.269873,1.470365
61125,9.695803,0.278791,1.447456
61126,9.746219,0.192816,1.398138
61127,9.765834,0.136958,1.391768
61128,9.785666,0.151392,1.462191
61129,9.860626,0.169802,1.467329
61130,9.787752,0.143711,1.423764
61131,9.614353,0.130644,1.435812
61132,9.611110,0.147652,1.409683
61133,9.639319,0.105035,1.400481
61134,9.681809,0.127834,1.411267
61135,9.852399,0.246966,1.455656
61136,9.822649,0.155842,1.355740
61137,9.794114,0.210807,1.416938
61138,9.747746,0.195180,1.430229
61139,9.766316,0.245759,1.372127
61140,9.694528,0.153855,1.284231
61141,9.671799,0.171337,1.279625
61142,9.671688,0.215128,1.312089
61143,9.809502,0.199052,1.290659
61144,9.901992,0.220984,1.286223
61145,9.890630,0.202907,1.328947
61146,9.801425,0.183924,1.261332
61147,9.788671,0.192251,1.241593
61148,9.797282,0.182580,1.208657
61149,9.746702,0.191572,1.228135
61150,9.653091,0.262418,1.305664
61151,9.638280,0.264737,1.350013
61152,9.837849,0.328538,1.404132
61153,9.917339,0.283715,1.395896
61154,9.885552,0.195236,1.304111
61155,9.783259,0.160888,1.216206
61156,9.661606,0.170195,1.184551
61157,9.814075,0.174677,1.224999
61158,9.743637,0.102946,1.258003
61159,9.787107,0.156608,1.319887
61160,9.692522,0.248063,1.333079
61161,9.674639,0.272725,1.299429
61162,9.714605,0.201512,1.284490
61163,9.721923,0.208062,1.264505
61164,9.747682,0.188207,1.274345
61165,9.702155,0.242592,1.298493
61166,9.747414,0.246258,1.315347
61167,9.725481,0.213098,1.271583
61168,9.946012,0.206064,1.254290
61169,9.867226,0.091891,1.255087
61170,9.771774,0.176623,1.250815
