PacketCounter,Acc_X,Acc_Y,Acc_Z
58283,9.720789,-0.122499,1.611281
58284,9.711929,-0.126779,1.628990
58285,9.727354,-0.106865,1.614988
58286,9.701508,-0.133248,1.607312
58287,9.715943,-0.148626,1.596296
58288,9.725436,-0.103496,1.581433
58289,9.726593,-0.141672,1.620138
58290,9.690853,-0.133606,1.590769
58291,9.697354,-0.158221,1.588076
58292,9.733891,-0.122751,1.619836
58293,9.698720,-0.154543,1.580079
58294,9.741746,-0.071715,1.565974
58295,9.713950,-0.088707,1.574348
58296,9.721469,-0.124372,1.561180
58297,9.705980,-0.149513,1.575290
58298,9.712603,-0.126537,1.632102
58299,9.735128,-0.139909,1.607453
58300,9.691829,-0.159412,1.526519
58301,9.714423,-0.150465,1.612015
58302,9.710026,-0.127235,1.651021
58303,9.710118,-0.127530,1.650455
58304,9.743262,-0.129059,1.650610
58305,9.699785,-0.138729,1.575004
58306,9.708007,-0.129757,1.564787
58307,9.709426,-0.138883,1.551790
58308,9.713974,-0.140828,1.622747
58309,9.725980,-0.110131,1.584696
58310,9.720152,-0.131061,1.575637
58311,9.714165,-0.152664,1.567422
58312,9.712973,-0.146751,1.578823
58313,9.704254,-0.108516,1.604006
58314,9.725604,-0.157099,1.582360
58315,9.713358,-0.152669,1.575892
58316,9.734972,-0.155229,1.560863
58317,9.714025,-0.109240,1.579946
58318,9.714017,-0.153809,1.571713
58319,9.711428,-0.139461,1.596236
58320,9.717738,-0.121959,1.602268
58321,9.703022,-0.117638,1.561145
58322,9.712569,-0.197784,1.575738
58323,9.723906,-0.153902,1.600334
58324,9.725621,-0.118571,1.593842
58325,9.713747,-0.156335,1.576747
58326,9.687115,-0.127769,1.586362
58327,9.740437,-0.135858,1.525495
58328,9.703031,-0.160239,1.502241
58329,9.740338,-0.119953,1.585363
58330,9.714137,-0.101204,1.587651
58331,9.715233,-0.152793,1.567908
58332,9.726570,-0.150892,1.584349
58333,9.713349,-0.136682,1.588598
58334,9.706738,-0.117920,1.537850
58335,9.708096,-0.168385,1.516480
58336,9.728017,-0.105855,1.584056
58337,9.697868,-0.106620,1.615952
58338,9.734668,-0.131209,1.579698
58339,9.714132,-0.129388,1.588409
58340,9.721407,-0.125353,1.528784
58341,9.718191,-0.116195,1.502497
58342,9.756900,-0.085045,1.573440
58343,9.731693,-0.119827,1.556246
58344,9.695554,-0.098017,1.588727
58345,9.738101,-0.161854,1.492793
58346,9.717896,-0.154272,1.554972
58347,9.740292,-0.123272,1.538617
58348,9.729826,-0.120374,1.571866
58349,9.735968,-0.103596,1.579240
58350,9.718580,-0.126656,1.554295
58351,9.725021,-0.153557,1.550720
58352,9.710529,-0.104867,1.516526
58353,9.721300,-0.148297,1.527407
58354,9.722253,-0.100917,1.586040
58355,9.738274,-0.116423,1.614817
58356,9.718411,-0.178925,1.545289
58357,9.724054,-0.153491,1.560704
58358,9.708588,-0.138294,1.528286
58359,9.740633,-0.088302,1.549146
58360,9.716718,-0.128827,1.518618
58361,9.720202,-0.139593,1.543004
58362,9.701382,-0.095785,1.601654
58363,9.743336,-0.187478,1.559369
58364,9.731462,-0.138264,1.560223
58365,9.724523,-0.148578,1.562308
58366,9.724218,-0.110281,1.517712
58367,9.722368,-0.095441,1.538905
58368,9.711338,-0.142374,1.510330
58369,9.730518,-0.130725,1.519395
58370,9.708140,-0.121170,1.544916
58371,9.748310,-0.112281,1.542089
58372,9.727014,-0.124642,1.494478
58373,9.723456,-0.102854,1.531534
