PacketCounter,Acc_X,Acc_Y,Acc_Z
37417,6.658596,1.619753,-0.737609
37418,6.926993,1.564178,-0.896392
37419,6.458155,1.365946,-1.428165
37420,5.543578,1.123151,-1.311631
37421,4.927220,0.934382,-1.014138
37422,4.900511,0.955011,-0.314067
37423,5.396148,1.086652,-0.153415
37424,5.488314,0.717233,-0.578484
37425,5.517205,0.423036,-0.688290
37426,6.137418,0.288299,-0.151323
37427,7.275359,0.287423,0.187966
37428,7.466259,0.171080,-0.896523
37429,7.036917,0.006935,-0.856766
37430,7.078713,0.117913,-0.303391
37431,6.811723,-0.102875,0.133974
37432,7.210398,0.178302,1.112072
37433,9.283546,0.857063,1.623902
37434,10.144349,0.821775,0.715591
37435,9.945945,0.724318,0.629137
37436,8.909759,0.447228,-0.303047
37437,8.052308,0.176396,0.389533
37438,7.946530,0.723573,0.869196
37439,7.759258,0.763433,0.467418
37440,7.624961,0.450712,0.343284
37441,7.752762,0.471719,0.644055
37442,8.582785,0.524548,0.957969
37443,9.152958,0.750587,0.889405
37444,9.616719,1.006017,1.304335
37445,10.276554,1.417228,1.183916
37446,9.028599,0.825487,0.873634
37447,8.627461,0.130659,1.349569
37448,8.632233,-0.705710,1.430755
37449,8.957830,-0.764049,2.178290
37450,9.418459,-0.382437,2.167267
37451,10.278565,-0.871192,1.185911
37452,12.225240,0.411293,0.610261
37453,13.002594,0.184322,0.398393
37454,14.083218,0.565554,1.194526
37455,13.829972,0.691408,1.227635
37456,13.314619,-0.690320,1.493979
37457,13.712135,-0.693399,1.316085
37458,14.725070,0.222616,0.707430
37459,15.676060,0.976562,0.156183
37460,15.581525,0.515753,-0.629110
37461,15.799812,0.226974,-1.137719
37462,16.581058,0.659431,-1.595043
37463,16.854623,1.441971,-1.609069
37464,16.032471,1.468204,-1.377778
37465,15.034215,0.932014,-1.038235
37466,14.103807,0.685066,-0.993438
37467,14.348142,1.318688,-0.596745
37468,13.671658,1.109016,-1.366220
37469,12.512537,0.097953,-1.518368
37470,12.069055,0.160753,-1.441135
37471,11.783397,0.424596,-1.191717
37472,11.516266,0.423291,-0.926990
37473,11.021390,-0.047827,-1.236141
37474,11.122411,0.118682,-1.182459
37475,10.969408,0.237568,-1.234931
37476,10.369367,-0.343484,-1.264389
37477,10.407233,-0.054337,-0.871516
37478,10.453589,0.394641,-0.569186
37479,10.267655,0.328460,-0.583728
37480,9.919222,0.050150,-0.525987
37481,9.987290,0.286995,-0.100380
37482,10.092729,0.333804,0.117125
37483,10.065609,0.170458,-0.203436
37484,10.071048,0.096452,-0.253471
37485,10.012061,-0.048210,-0.362114
37486,9.909573,-0.016880,-0.230150
37487,9.799446,-0.016746,-0.174992
37488,9.685355,-0.091395,-0.016929
37489,9.776269,-0.111105,-0.138816
37490,9.915898,-0.244528,-0.356031
37491,10.147090,-0.010264,-0.535351
37492,10.189160,-0.038286,-0.556835
37493,10.010771,-0.186463,-0.305798
37494,10.159017,0.096925,-0.201244
37495,10.160324,-0.050126,-0.417839
37496,10.171727,-0.068287,-0.429388
37497,10.328427,0.231479,-0.354466
37498,10.406714,0.253687,-0.365645
37499,10.064874,-0.103107,-0.478499
37500,9.601826,-0.570513,-0.712316
37501,9.662131,-0.444332,-0.640415
37502,9.733383,-0.335244,-0.658370
37503,9.783097,-0.332706,-0.600141
37504,10.062533,0.055655,-0.428332
37505,9.754408,-0.093863,-0.360931
37506,9.471262,-0.312344,-0.451253
37507,9.680985,-0.059356,-0.483724
37508,9.805881,0.000736,-0.532741
37509,9.725140,-0.114763,-0.374861
37510,9.735949,-0.124353,-0.270752
37511,9.742751,-0.091388,-0.351824
37512,9.719432,-0.047984,-0.148916
37513,9.715265,0.137871,-0.042653
37514,9.763482,0.158383,-0.035541
37515,9.816275,0.113942,-0.144911
37516,9.825626,-0.020628,-0.381477
37517,9.740348,-0.087215,-0.484270
37518,9.940253,0.053502,-0.261609
37519,9.968840,0.206226,-0.230848
37520,9.778941,0.074668,-0.244158
37521,9.899387,-0.068041,-0.375141
37522,10.012480,0.020671,-0.494407
37523,10.487679,0.085006,-0.620016
37524,10.023755,0.292086,-0.356114
37525,9.837888,-0.255727,-0.411908
37526,9.926904,0.143612,-0.140197
37527,9.837703,-0.111803,-0.291418
37528,9.830739,-0.024237,-0.217340
37529,9.800239,-0.007459,-0.362657
37530,9.851029,-0.140059,-0.323274
37531,9.842546,-0.033859,-0.217855
37532,9.832527,-0.147950,-0.306407
37533,9.887953,-0.082484,-0.375873
37534,9.838450,-0.092159,-0.272442
37535,9.811059,-0.118236,-0.312934
37536,9.861377,-0.220655,-0.561698
37537,9.850170,-0.196305,-0.630520
37538,9.785707,-0.273731,-0.618888
37539,9.949111,0.025958,-0.330194
37540,9.717826,0.034001,-0.249591
37541,9.828633,-0.086380,-0.452269
37542,9.854760,-0.048198,-0.288868
37543,9.844862,-0.044341,-0.303678
37544,9.781530,0.098915,-0.000283
37545,9.741530,-0.000608,-0.153579
37546,9.959025,0.493249,0.150030
37547,9.879865,0.228462,0.264234
37548,9.824427,0.009491,-0.274298
37549,9.868760,0.044255,0.014552
37550,9.831159,0.048838,-0.181657
37551,9.847604,0.078429,-0.077671
