PacketCounter,Acc_X,Acc_Y,Acc_Z
44012,7.942894,1.831509,-3.529214
44013,8.348166,1.719062,-3.617784
44014,8.632044,1.872937,-3.466984
44015,8.896630,2.031256,-3.243319
44016,9.082953,2.244703,-3.073506
44017,9.299701,2.196428,-3.261223
44018,9.364705,2.046167,-3.242620
44019,9.583180,1.808853,-3.181259
44020,9.888096,1.849421,-2.829123
44021,10.102480,1.923473,-2.562252
44022,10.055212,1.860285,-2.441054
44023,9.453728,1.620360,-2.322172
44024,8.475597,1.302230,-1.968859
44025,7.430177,1.042108,-1.728604
44026,6.324366,0.923415,-1.461091
44027,5.230885,0.674201,-1.563326
44028,4.006551,0.519833,-1.707085
44029,3.076096,-0.063823,-2.061073
44030,2.999477,-0.370455,-2.713764
44031,3.847245,-0.232573,-3.613197
44032,4.409112,-0.036854,-3.745839
44033,4.723491,-0.029636,-3.710818
44034,4.848608,0.354187,-3.289034
44035,4.895038,0.740695,-2.672326
44036,5.047427,1.027527,-2.045144
44037,5.287721,1.446348,-1.605091
44038,4.622108,1.714969,-0.872454
44039,3.594502,1.638118,-0.347105
44040,3.491767,1.493127,-0.509978
44041,6.136859,1.832769,-1.100769
44042,8.713439,1.786418,-2.026664
44043,9.729300,1.565895,-2.156470
44044,10.522753,1.269017,-2.881175
44045,10.010436,1.365435,-2.507863
44046,9.179771,1.819267,-1.609577
44047,8.559803,1.977462,-0.643233
44048,8.766438,2.234996,-0.052258
44049,8.877474,1.985460,0.488921
44050,9.417218,2.020588,0.643125
44051,10.153446,1.897189,0.026361
44052,10.107665,1.534218,-0.441633
44053,9.919913,1.209695,-0.653060
44054,10.860437,1.418489,-0.659585
44055,11.765722,1.251809,-0.954103
44056,11.982145,1.012846,-0.779951
44057,11.660222,0.752352,-0.272804
44058,11.297963,1.048886,0.129969
44059,10.940602,1.125051,0.544217
44060,10.545771,0.995370,0.587436
44061,10.552719,1.012061,0.500886
44062,10.205969,0.907527,0.663801
44063,10.400115,0.895768,0.710226
44064,11.314877,0.781028,0.519332
44065,12.266060,0.872119,0.619947
44066,13.250822,0.961832,0.718903
44067,13.866382,0.770311,0.618735
44068,14.516396,0.758845,0.435927
44069,14.924298,0.623154,0.522263
44070,15.240743,0.623911,1.089929
44071,16.463792,0.826368,0.980260
44072,16.798744,0.956798,0.889943
44073,16.397663,0.738054,0.843316
44074,15.500582,0.478329,0.643393
44075,14.353350,0.391927,0.542368
44076,13.298712,0.181911,0.410616
44077,12.639886,0.044545,0.164894
44078,12.105252,0.005140,-0.016607
44079,11.683204,0.024018,0.200863
44080,11.062567,-0.086749,0.166217
44081,10.628422,0.253235,0.820516
44082,10.167368,0.205333,0.893774
44083,9.965013,0.302212,1.260494
44084,9.561319,0.060701,0.786508
44085,10.917116,-0.212785,0.795160
44086,12.312272,0.108778,-0.056503
44087,12.428706,0.489745,1.115768
44088,12.207202,0.360605,0.689215
