PacketCounter,Acc_X,Acc_Y,Acc_Z
15744,-0.200328,-0.421025,10.028573
15745,0.031559,-0.435816,9.772083
15746,0.030723,-0.490694,9.566185
15747,0.189222,-0.524791,9.318624
15748,0.231214,-0.504446,9.305839
15749,0.144892,-0.472339,9.394546
15750,0.122112,-0.351927,9.556826
15751,0.330926,-0.219920,9.691927
15752,0.239852,-0.166672,9.858595
15753,0.207303,-0.105663,9.761908
15754,-0.015379,-0.134344,9.916148
15755,-0.341901,-0.109854,10.029001
15756,-0.230890,-0.125210,10.076630
15757,-0.211719,-0.098957,10.260600
15758,-0.427218,-0.051377,10.346879
15759,-0.367703,-0.123660,10.150835
15760,-0.171668,-0.119347,10.043640
15761,-0.174883,-0.097591,10.097915
15762,-0.177161,-0.120440,10.072452
15763,-0.059141,-0.015147,10.062734
15764,-0.064356,-0.112251,10.003659
15765,-0.144981,-0.021827,9.873941
15766,-0.229661,-0.012450,9.834392
15767,-0.390437,-0.066504,9.745061
15768,-0.487143,-0.181774,9.662463
15769,-0.885604,-0.046100,9.665182
15770,-0.878621,-0.141533,9.605971
15771,-1.016260,-0.086419,9.404510
15772,-1.246029,-0.163771,9.393553
15773,-1.112233,-0.211845,9.442476
15774,-0.784877,-0.189483,9.467251
15775,-0.768707,-0.130885,9.375950
15776,-0.713519,-0.106735,9.163367
15777,-0.468429,-0.001081,9.152697
15778,-0.377160,0.011288,9.323556
15779,-0.204447,0.027248,9.361818
15780,-0.164234,-0.092746,9.531849
15781,-0.446979,-0.087907,9.770289
15782,-0.286370,-0.149678,9.822249
15783,-0.441837,-0.077178,9.794589
15784,-0.087782,-0.138451,9.687306
15785,-0.362532,-0.077989,9.858062
15786,-0.361164,-0.177763,9.971558
15787,-0.364681,-0.082563,10.154591
15788,-0.466151,-0.181187,10.271370
15789,-0.384464,-0.085985,10.297573
15790,-0.203077,-0.021659,10.342778
15791,-0.185193,0.033626,10.327165
15792,-0.104542,0.030779,10.218068
15793,-0.470207,0.111111,9.996340
15794,-0.447308,-0.028213,9.835201
15795,-0.485643,0.041948,9.733509
15796,-0.499237,-0.019311,9.849682
15797,-0.535740,0.000322,9.768904
15798,-0.359855,-0.053777,9.600406
15799,-0.154616,-0.138930,9.660738
15800,-0.159236,-0.201397,9.402661
15801,-0.352697,-0.263271,9.304834
15802,-0.422625,-0.349207,9.255401
15803,-0.476965,-0.412028,9.337142
15804,-0.255075,-0.323365,9.618968
15805,0.146781,-0.217104,9.866235
15806,0.629113,-0.183623,10.374811
15807,0.472927,0.026545,10.514317
15808,0.429300,-0.031028,10.424009
15809,0.483304,0.028488,10.366171
15810,0.460317,-0.024025,10.204306
15811,0.442054,-0.061835,10.244594
15812,0.462169,-0.108720,10.140769
15813,0.428693,-0.189151,9.971753
15814,0.258210,-0.190936,9.657513
15815,0.111767,-0.253110,9.618508
15816,0.102191,-0.232750,9.566874
15817,0.018865,-0.246825,9.421399
15818,0.001120,-0.273957,9.337991
15819,-0.103632,-0.096772,9.334070
15820,-0.038409,-0.163247,9.464435
15821,0.022125,0.039900,9.697839
15822,0.146401,0.084224,9.902397
15823,0.167688,0.104011,10.133709
15824,0.195605,0.131804,10.216947
15825,0.343084,0.043673,10.111470
15826,0.432491,-0.021033,9.795926
15827,0.454177,-0.059677,9.644697
15828,0.383201,-0.084290,9.777084
15829,0.338634,-0.093989,9.766687
15830,0.325299,-0.068045,9.691482
15831,0.111391,-0.087063,9.646535
15832,-0.063311,-0.180315,9.726721
15833,0.013257,-0.164157,9.718315
15834,0.126261,-0.143527,9.767813
15835,0.085003,-0.177667,9.756066
15836,0.097303,-0.107350,9.865994
15837,0.227618,-0.058071,9.922099
15838,0.293308,-0.001685,10.040820
15839,0.332079,-0.089738,9.963375
15840,0.323413,-0.090281,9.910421
15841,0.390078,-0.119621,9.769430
15842,0.282832,-0.141808,9.719927
15843,0.104510,-0.132813,9.734848
15844,0.202262,-0.096320,9.856958
15845,0.214381,0.023170,9.945937
15846,0.187822,-0.052543,9.806986
15847,0.159964,-0.102211,9.645704
15848,-0.039848,-0.070310,9.609936
15849,-0.377683,-0.115703,9.564837
15850,-0.007650,-0.050267,9.769581
15851,-0.124228,0.009114,10.003927
15852,-0.142928,-0.088040,9.839677
15853,-0.194903,-0.072260,9.730789
15854,-0.053135,-0.175529,9.772019
15855,-0.178254,-0.103199,9.705437
15856,-0.033320,-0.159210,9.802318
15857,0.032226,-0.001709,9.831906
15858,0.096049,-0.083834,10.085541
15859,-0.078015,-0.045856,10.031395
15860,-0.206914,-0.080915,10.077840
15861,-0.258698,-0.091580,9.991368
15862,-0.560535,-0.150961,9.826338
15863,-0.398272,-0.164080,9.705157
15864,-0.676953,-0.117692,9.557097
15865,-0.338391,-0.236890,9.757893
15866,-0.184661,-0.131444,9.773794
15867,-0.363854,-0.150007,9.812423
15868,-0.115061,-0.080994,9.916311
15869,-0.134067,-0.035111,9.867142
15870,-0.311109,-0.073316,9.804050
15871,-0.105649,-0.082579,9.816088
15872,-0.194664,-0.075421,9.750473
15873,-0.174031,-0.057821,9.881291
15874,-0.157512,-0.105086,9.853966
15875,-0.258966,-0.080624,9.837885
15876,-0.307846,-0.114646,9.749925
15877,-0.398059,-0.108850,9.684363
15878,-0.467196,-0.150742,9.667651
15879,-0.343780,-0.110723,9.846563
15880,-0.022889,-0.077512,10.061765
15881,-0.268933,-0.045624,9.845625
15882,-0.435814,-0.087655,9.834761
15883,-0.360956,-0.072512,9.825791
15884,-0.296997,-0.079927,9.762338
15885,-0.007541,-0.118673,9.862414
15886,0.227911,-0.143101,9.954608
15887,0.020935,-0.143632,9.942060
15888,-0.162236,-0.140073,9.934332
15889,0.030752,-0.190032,9.890764
15890,-0.077307,-0.134927,9.804441
15891,-0.109108,-0.268580,9.808986
15892,-0.046759,-0.214754,10.004642
15893,-0.135041,-0.185387,9.992773
15894,-0.031121,-0.254377,9.929587
15895,-0.084726,-0.094134,9.965816
15896,0.075432,-0.124496,9.943853
15897,0.352109,-0.130324,10.048560
15898,0.408097,-0.112426,10.064707
15899,0.471447,-0.147773,10.124876
15900,0.314685,-0.176651,9.916513
15901,0.268791,-0.255508,9.747458
15902,0.578036,-0.243924,9.734129
15903,0.451601,-0.201601,9.665492
15904,0.381263,-0.283702,9.740877
15905,0.173009,-0.230525,9.481104
15906,0.078413,-0.315264,9.124229
