PacketCounter,Acc_X,Acc_Y,Acc_Z
37746,10.508329,0.278077,1.991667
37747,13.117688,0.444607,2.362659
37748,13.878939,-0.330107,2.727606
37749,14.542633,-0.931032,2.468547
37750,15.049016,-1.555938,1.815626
37751,15.816577,-2.334753,1.196019
37752,17.230135,-2.608422,1.053578
37753,19.022662,-2.475801,1.790759
37754,21.225489,-2.157200,1.185950
37755,21.791695,-1.489437,2.153033
37756,21.232529,-0.690403,3.085238
37757,20.043473,-0.086023,3.538736
37758,18.096847,0.702221,3.957686
37759,16.406471,1.282819,3.799945
37760,14.867731,1.977493,3.538383
37761,13.472470,2.525557,3.225085
37762,11.958030,3.001797,3.086711
37763,10.894493,3.509142,3.290157
37764,9.843596,3.646129,3.359361
37765,8.768330,3.564143,3.121785
37766,8.045383,3.619899,2.983605
37767,7.275377,3.624595,2.546005
37768,6.601587,3.380309,1.845057
37769,6.054610,3.033911,1.181475
37770,5.565638,2.615581,0.410386
37771,5.026394,2.218699,0.004063
37772,4.717621,1.711637,-0.146757
37773,4.480746,1.271987,-0.530005
37774,4.695211,1.072323,-0.869366
37775,5.054678,0.805828,-1.225531
37776,5.384844,0.523819,-1.572618
37777,5.865114,0.525478,-1.811699
37778,6.199601,0.385962,-1.725758
37779,6.095332,0.236132,-1.269736
37780,6.240240,0.365002,-1.072259
37781,6.218736,0.231035,-1.247304
37782,5.829799,0.013065,-1.272848
37783,5.629107,-0.094475,-1.366457
37784,5.676716,-0.246458,-1.590226
37785,5.879904,-0.350799,-1.651432
37786,6.394024,-0.415597,-1.729494
37787,7.130604,-0.427895,-1.778802
37788,7.718626,-0.332720,-1.578931
37789,7.837540,-0.183249,-1.591659
37790,7.503878,-0.169145,-1.632562
37791,6.993736,0.024111,-1.558822
37792,6.698906,0.130780,-1.551011
37793,6.719880,0.124432,-1.605866
37794,7.008089,0.161861,-1.445098
37795,7.502173,0.200605,-1.463215
37796,8.051330,0.155768,-1.512078
37797,8.464534,0.003270,-1.822265
37798,8.730690,0.064764,-1.719905
37799,8.992667,0.213536,-1.472041
37800,9.085465,0.453796,-1.306299
37801,9.085474,0.591982,-1.213153
37802,8.946059,0.538029,-1.409698
37803,8.634208,0.333492,-1.719266
37804,8.492064,0.249891,-1.626089
37805,8.694340,0.257068,-1.534529
37806,8.806831,0.174096,-1.509283
37807,9.042388,0.205869,-1.533332
37808,9.143142,0.166847,-1.685258
37809,9.213851,0.052610,-1.944141
37810,9.173719,0.079301,-2.108027
37811,9.184430,-0.050095,-2.328808
37812,9.254542,-0.080124,-2.265562
37813,9.385951,-0.121208,-2.118242
37814,9.403592,-0.322514,-2.046395
37815,9.592938,-0.302544,-1.973946
37816,9.538278,-0.323376,-1.914860
37817,9.458088,-0.344105,-1.974552
37818,9.517606,-0.498868,-2.251329
37819,9.540933,-0.606409,-2.353796
37820,9.585471,-0.540901,-2.082950
37821,9.686318,-0.540688,-1.876999
37822,9.710482,-0.475653,-1.594099
37823,9.677865,-0.505606,-1.409065
37824,9.686717,-0.412388,-1.438594
37825,9.723491,-0.429918,-1.529903
37826,9.642201,-0.465921,-1.579928
37827,9.809450,-0.498245,-1.747343
37828,9.873460,-0.486334,-1.846336
37829,9.827193,-0.498390,-1.852984
37830,9.742103,-0.620054,-1.851916
37831,9.647633,-0.759150,-1.824240
37832,9.459869,-0.742378,-1.642040
37833,9.631974,-0.643320,-1.659656
37834,9.829045,-0.748760,-1.722107
37835,9.822828,-0.692280,-1.621658
37836,9.988014,-0.703747,-1.632074
37837,9.953112,-0.689273,-1.588483
37838,9.969369,-0.573135,-1.540983
37839,9.878038,-0.569502,-1.551037
37840,9.626665,-0.645271,-1.694358
37841,9.564746,-0.651492,-1.847520
37842,9.566237,-0.652823,-1.899103
37843,9.600204,-0.530065,-1.692202
37844,9.559259,-0.455226,-1.612270
37845,9.546693,-0.440394,-1.632853
37846,9.537894,-0.454874,-1.604869
37847,9.643232,-0.446704,-1.714498
37848,9.749250,-0.492485,-1.833039
37849,9.737308,-0.477610,-1.849815
37850,9.666325,-0.445006,-1.773019
37851,9.571316,-0.439865,-1.742688
37852,9.566239,-0.377964,-1.515662
37853,9.492490,-0.396098,-1.409837
37854,9.451152,-0.371424,-1.287545
37855,9.337978,-0.451396,-1.342210
37856,9.340678,-0.429984,-1.470635
37857,9.414618,-0.466483,-1.588979
37858,9.488192,-0.475493,-1.610675
37859,9.676103,-0.486446,-1.682449
37860,9.623959,-0.561995,-1.778634
37861,9.479913,-0.553115,-1.775020
37862,9.503392,-0.524748,-1.732283
37863,9.424352,-0.511673,-1.807662
37864,9.401585,-0.537075,-1.847678
37865,9.385088,-0.406821,-1.620702
37866,9.346157,-0.332116,-1.529709
37867,9.299377,-0.276703,-1.589325
37868,9.251167,-0.296451,-1.525303
37869,9.307966,-0.442312,-1.639920
37870,9.490915,-0.605801,-1.789296
37871,9.705736,-0.621639,-1.769656
37872,9.811641,-0.644972,-1.787517
37873,9.936345,-0.582294,-1.715440
37874,9.873591,-0.564191,-1.581002
37875,9.855793,-0.544586,-1.510553
37876,9.781350,-0.618642,-1.544701
37877,9.906353,-0.685829,-1.537166
37878,9.958302,-0.773952,-1.605605
37879,9.780950,-0.830813,-1.665423
37880,9.469631,-0.807805,-1.603051
37881,9.094072,-0.815091,-1.557760
37882,8.784540,-0.873495,-1.601356
37883,8.597742,-0.888963,-1.626246
37884,8.301711,-0.987949,-1.749416
37885,7.917413,-1.005772,-1.813093
37886,7.479688,-0.984103,-1.769954
37887,7.105381,-0.824900,-1.549903
37888,6.748992,-0.556375,-1.321824
37889,6.502872,-0.440036,-1.223102
37890,6.363689,-0.420300,-1.060203
37891,6.153965,-0.577333,-1.098754
37892,6.098073,-0.670036,-1.153519
37893,6.156869,-0.733163,-1.150823
37894,6.189467,-0.754751,-1.378018
37895,6.407485,-0.794066,-1.637590
37896,6.408269,-0.769257,-1.868018
37897,6.477327,-0.747796,-1.929814
37898,6.635634,-0.542837,-1.620038
37899,6.709376,-0.253141,-1.009895
37900,6.509504,-0.009978,-0.433380
37901,6.259943,0.198350,0.108347
37902,6.255788,0.560594,0.437228
37903,6.288748,0.676514,0.549459
37904,6.189287,0.770355,0.724578
37905,6.545575,1.072814,1.185062
37906,7.053235,1.461615,1.366908
37907,7.227685,1.802393,1.060007
37908,6.857394,1.983842,0.761973
37909,6.198811,1.821723,0.144649
37910,5.636273,1.195161,-0.059782
37911,5.503195,0.271522,0.284440
37912,6.914983,-0.606252,0.466194
37913,9.167177,-0.900272,1.046084
37914,11.894251,-0.818195,1.382794
37915,13.832137,-0.568278,1.558524
37916,14.407498,-0.031144,1.856790
37917,13.665905,0.123026,1.901138
37918,12.247165,-0.249372,1.649130
37919,10.747303,-0.227847,1.645531
37920,9.538792,-0.220796,1.599635
37921,9.673180,0.426053,2.220409
37922,10.881803,1.043427,2.910839
37923,12.585802,1.562743,3.603612
37924,14.185474,1.690412,3.945017
37925,14.971771,1.536328,3.713861
37926,15.143867,1.316972,3.112777
37927,14.748980,1.080293,2.659600
37928,14.118745,0.792201,2.529526
37929,13.757990,0.613864,2.518462
37930,13.503476,0.392523,2.464558
37931,13.426999,0.244666,2.213963
37932,13.567496,-0.081955,1.943399
37933,13.679373,-0.143423,1.654216
37934,13.672809,-0.050742,1.698183
37935,13.441666,0.025770,1.847263
37936,12.966959,0.205243,2.128918
37937,12.421581,0.404527,2.317976
37938,11.891036,0.414026,2.240532
37939,11.445574,0.327533,2.089017
37940,11.130396,0.105084,1.795512
